type,latitude,longitude,alt
T,48.4188733333,-4.473495,145.2
T,48.418865,-4.47349,145.1
T,48.4188533333,-4.473485,145.1
T,48.4188433333,-4.47348166667,145.0
T,48.4188333333,-4.47347666667,144.9
T,48.4188233333,-4.47347166667,144.9
T,48.4188133333,-4.47346666667,145.1
T,48.4188066667,-4.47346333333,145.3
T,48.4187983333,-4.47346166667,145.2
T,48.41879,-4.47346166667,145.1
T,48.41878,-4.47346166667,145.0
T,48.4187716667,-4.47346166667,144.9
T,48.4187616667,-4.47346,144.7
T,48.4187516667,-4.47345833333,144.6
T,48.4187416667,-4.47345666667,144.6
T,48.41873,-4.473455,144.5
T,48.41872,-4.47345166667,144.5
T,48.41871,-4.47345,144.5
T,48.4187,-4.47344833333,144.5
T,48.41869,-4.473445,144.4
T,48.41868,-4.47344166667,144.4
T,48.4186683333,-4.47343833333,144.3
T,48.4186583333,-4.473435,144.1
T,48.4186483333,-4.47343333333,144.0
T,48.41864,-4.47343,144.1
T,48.41863,-4.47343,144.2
T,48.4186233333,-4.47342833333,144.6
T,48.418615,-4.47342666667,145.0
T,48.418605,-4.47342166667,145.1
T,48.418595,-4.47341666667,145.1
T,48.418585,-4.47341166667,145.1
T,48.4185783333,-4.473405,144.7
T,48.4185716667,-4.4734,144.3
T,48.418565,-4.47339166667,144.3
T,48.4185566667,-4.473385,144.2
T,48.418555,-4.47337833333,144.2
T,48.418555,-4.473375,144.1
T,48.4185566667,-4.47337666667,144.1
T,48.4185583333,-4.47337666667,143.8
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47337833333,143.9
T,48.4185583333,-4.47338166667,143.4
T,48.4185583333,-4.47338166667,143.4
T,48.4185583333,-4.47338166667,143.4
T,48.4185566667,-4.47338333333,143.2
T,48.4185566667,-4.47338333333,143.2
T,48.418555,-4.473385,143.2
T,48.4185533333,-4.47338833333,143.2
T,48.4185483333,-4.47339333333,143.3
T,48.4185416667,-4.4734,143.3
T,48.4185366667,-4.47340666667,143.4
T,48.4185283333,-4.47341333333,143.5
T,48.41852,-4.47342166667,143.7
T,48.4185116667,-4.47343,143.7
T,48.418505,-4.47343833333,143.6
T,48.4184966667,-4.473445,143.7
T,48.4184883333,-4.47345333333,143.8
T,48.4184833333,-4.473465,144.1
T,48.4184766667,-4.47347666667,144.3
T,48.41847,-4.47348666667,144.5
